name,description,budget,remainingBudget,spentBudget,budgetOwnerEmail,budgetOwnerName,departmentName,locationName
Sosyal Aktiviteler,Personel sosyal aktivite ve motivasyon giderleri,176413,136413,40000,admin@procurementflow.com,Admin,İnsan Kaynakları,Tavuk Dünyası Genel Merkez
Sürdürülebilirlik Projeleri,Sürdürülebilirlik projeleri giderleri,200693,170693,30000,admin@procurementflow.com,Admin,Sürdürülebilirlik,Tavuk Dünyası Genel Merkez
Süt ve Süt Ürünleri,"Süt, yoğurt, peynir vb. ürünler",599258,404421,194837,admin@procurementflow.com,Admin,Satın Alma,Tavuk Dünyası Genel Merkez
Tavuk ve Kanatlı,Tavuk ve kanatlı ürünleri tedarik giderleri,4943712,3315282,1628430,admin@procurementflow.com,Admin,Satın Alma,Tavuk Dünyası Genel Merkez
Temizlik Malzemeleri,Temizlik ve hijyen malzemeleri,373586,259612,113974,admin@procurementflow.com,Admin,Satın Alma,Tavuk Dünyası Genel Merkez
Un ve Tahıllar,"Un, ekmek ve tahıl ürünleri tedarik giderleri",487318,337318,150000,admin@procurementflow.com,Admin,Satın Alma,Tavuk Dünyası Genel Merkez
Üsküdar Şube,Üsküdar şube restoran operasyon giderleri,791355,641355,150000,admin@procurementflow.com,Admin,Restoran Operasyonları,Tavuk Dünyası Genel Merkez
Yağlar ve Kızartma,Yemeklik yağ ve kızartma malzemeleri,878234,595403,282831,admin@procurementflow.com,Admin,Satın Alma,Tavuk Dünyası Genel Merkez
Yazılım,Yazılım lisans ve geliştirme giderleri,460786,360786,100000,admin@procurementflow.com,Admin,Bilgi Teknolojileri,Tavuk Dünyası Genel Merkez
Yeni Ürün Geliştirme,Yeni ürün geliştirme ve test giderleri,292222,242222,50000,admin@procurementflow.com,Admin,Ar-Ge,Tavuk Dünyası Genel Merkez
